scan, NM, BFGS, CG, SLSQP, errNM, errBFGS, errCG, errSLSQP
"[1, 2]", "38.64, 145.56","38.64, 145.56","38.64, 145.56","38.64, 145.56",Err : 8.6e-08,Err$^2$ : 3.4e-11,Err$^2$ : 2.7e-11,Err : 8.0e-07
"[1, 2, 3]", "33.63, 145.79","33.67, 145.78","33.6, 145.8","33.65, 145.78",Err : 1.3e-02,Err : 1.3e-02,Err : 1.3e-02,Err : 1.3e-02
"[1, 2, 3, 4]", "26.53, 146.08","26.51, 146.08","26.63, 146.05","27.62, 145.69",Err : 3.2e-02,Err : 3.2e-02,Err : 3.2e-02,Err : 3.2e-02
"[1, 2, 3, 4, 5]", "19.82, 146.4","19.77, 146.42","19.97, 146.34","25.93, 144.01",Err : 4.9e-02,Err : 4.9e-02,Err : 4.9e-02,Err : 5.1e-02
"[1, 3]", "27.72, 146.09","27.72, 146.09","27.42, 146.12","27.72, 146.09",Err : 1.9e-08,Err$^2$ : 2.3e-11,Err$^2$ : 5.3e-04,Err : 5.5e-07
"[1, 5]", "1.5, 146.19","2.55, 150.67","1.19, 146.15","1.5, 146.06",Err : 1.7e-02,Err$^2$ : 3.7e-02,Err$^2$ : 7.8e+01,Err : 1.7e-02
"[1, 3, 5]", "12.35, 146.84","12.34, 146.84","12.47, 146.8","27.55, 142.69",Err : 4.2e-02,Err : 4.2e-02,Err : 4.2e-02,Err : 5.0e-02
"[1, 3, 7]", "1.5, 144.88","1.88, 149.71","1.48, 144.66","25.43, 138.48",Err : 1.3e-01,Err$^2$ : 1.4e-01,Err$^2$ : 4.8e+00,Err : 1.5e-01
"[2, 3]", "253.5, 7.25","243.58, 12.08","31.85, 146.9","25.49, 150.89",Err : 1.4e-02,Err$^2$ : 1.6e-02,Err$^1$ : 1.9e-02,Err : 1.9e-02
"[2, 3, 4]", "253.5, 3.7","251.64, 7.61","32.94, 142.01","23.64, 147.84",Err : 3.6e-02,Err$^2$ : 4.0e-02,Err$^1$ : 4.3e-02,Err : 4.4e-02
"[2, 3, 5]", "253.3, 1.5","223.15, 18.18","27.06, 143.79","22.75, 146.5",Err : 6.6e-02,Err$^2$ : 6.7e-02,Err$^1$ : 6.9e-02,Err : 6.9e-02
"[1, 2, 5]", "20.71, 146.38","20.68, 146.39","20.87, 146.33","28.23, 144.23",Err : 5.4e-02,Err : 5.4e-02,Err : 5.4e-02,Err : 5.6e-02
"[1, 2, 7]", "1.5, 146.99","1.51, 149.19","1.51, 146.96","26.24, 140.32",Err : 1.4e-01,Err$^2$ : 1.4e-01,Err$^2$ : 1.4e-01,Err : 1.5e-01
"[1, 2, 9]", "35.21, 133.25","35.33, 133.23","34.13, 133.49","28.58, 134.69",Err : 2.9e-01,Err : 2.9e-01,Err : 2.9e-01,Err : 2.9e-01
"[1, 7, 11]", "1.5, 139.51","6.14, 132.04","1.37, 139.29","1.5, 139.07",Err : 1.1e-01,Err$^2$ : 1.2e-01,Err$^2$ : 3.3e+01,Err : 1.1e-01
"[1, 9, 11]", "1.5, 134.01","2.14, 140.56","1.53, 133.91","31.17, 131.88",Err : 2.6e-01,Err$^2$ : 2.7e-01,Err$^2$ : 2.6e-01,Err : 2.7e-01
"[3, 9, 11]", "45.75, 120.26","46.21, 120.17","44.64, 120.53","26.19, 124.95",Err : 3.3e-01,Err : 3.3e-01,Err : 3.3e-01,Err : 3.3e-01
"[3, 5, 7]", "223.42, 1.5","13.91, 132.23","14.03, 132.18","13.92, 132.24",Err : 1.9e-01,Err : 1.9e-01,Err : 1.9e-01,Err : 1.9e-01
"[3, 7, 9]", "214.72, 1.5","144.11, 4.46","204.67, 1.53","204.16, 1.5",Err : 3.0e-01,Err$^2$ : 4.2e-01,Err$^2$ : 3.0e-01,Err : 3.0e-01
